;Value;Wi_Dt:(Dragon7);H_RG:(Dragon7);QW_L:(Dragon7);SMTI:(Dragon7);Wi_D:(Dragon7);Wap:(Dragon7);Mor01s:(Dragon7);Wi_Dz(i):(Dragon7);Wi_Dz(p):(Dragon7);Wi_G:(Dragon7);Wi_Dz(Z):(Dragon7);IDMT:(Dragon7);Wi_Dz(v):(Dragon7);Wi_Dz(m):(Dragon7);GMTI:(Dragon7);Wi_Dz(e):(Dragon7);SMTIV:(Dragon7);GMTIV:(Dragon7);Mor01i:(Dragon7);Wi_Dt:(Dragon7)_c0;H_RG:(Dragon7)_c0;SMTI:(Dragon7)_c0;Wap:(Dragon7)_c0;Mor01s:(Dragon7)_c0;Wi_Dz(p):(Dragon7)_c0;Wi_G:(Dragon7)_c0;IDMT:(Dragon7)_c0;GMTI:(Dragon7)_c0;SMTIV:(Dragon7)_c0;GMTIV:(Dragon7)_c0;H_RG:(Dragon7)_c1;SMTI:(Dragon7)_c1;Wap:(Dragon7)_c1;Wi_G:(Dragon7)_c1;IDMT:(Dragon7)_c1;GMTI:(Dragon7)_c1;SMTIV:(Dragon7)_c1;GMTIV:(Dragon7)_c1;H_RG:(Dragon7)_c2;SMTI:(Dragon7)_c2;Wap:(Dragon7)_c2;Wi_G:(Dragon7)_c2;IDMT:(Dragon7)_c2;GMTI:(Dragon7)_c2;SMTIV:(Dragon7)_c2;GMTIV:(Dragon7)_c2;Wi_Dt:(Dragon7)_c3;H_RG:(Dragon7)_c3;QW_L:(Dragon7)_c3;SMTI:(Dragon7)_c3;Wi_D:(Dragon7)_c3;Wap:(Dragon7)_c3;Mor01s:(Dragon7)_c3;Wi_Dz(i):(Dragon7)_c3;Wi_Dz(p):(Dragon7)_c3;Wi_G:(Dragon7)_c3;Wi_Dz(Z):(Dragon7)_c3;IDMT:(Dragon7)_c3;Wi_Dz(v):(Dragon7)_c3;Wi_Dz(m):(Dragon7)_c3;GMTI:(Dragon7)_c3;Wi_Dz(e):(Dragon7)_c3;SMTIV:(Dragon7)_c3;GMTIV:(Dragon7)_c3;H_RG:(Dragon7)_c4;SMTI:(Dragon7)_c4;Wap:(Dragon7)_c4;Wi_G:(Dragon7)_c4;IDMT:(Dragon7)_c4;GMTI:(Dragon7)_c4;SMTIV:(Dragon7)_c4;GMTIV:(Dragon7)_c4;Wi_Dt:(Dragon7)_c5;H_RG:(Dragon7)_c5;QW_L:(Dragon7)_c5;SMTI:(Dragon7)_c5;Wi_D:(Dragon7)_c5;Wap:(Dragon7)_c5;Mor01s:(Dragon7)_c5;Wi_Dz(i):(Dragon7)_c5;Wi_Dz(p):(Dragon7)_c5;Wi_G:(Dragon7)_c5;Wi_Dz(Z):(Dragon7)_c5;IDMT:(Dragon7)_c5;Wi_Dz(v):(Dragon7)_c5;Wi_Dz(m):(Dragon7)_c5;GMTI:(Dragon7)_c5;Wi_Dz(e):(Dragon7)_c5;SMTIV:(Dragon7)_c5;GMTIV:(Dragon7)_c5;H_RG:(Dragon7)_c6;SMTI:(Dragon7)_c6;Wap:(Dragon7)_c6;Wi_G:(Dragon7)_c6;IDMT:(Dragon7)_c6;GMTI:(Dragon7)_c6;SMTIV:(Dragon7)_c6;GMTIV:(Dragon7)_c6;Wi_Dt:(Dragon7)_c7;H_RG:(Dragon7)_c7;SMTI:(Dragon7)_c7;Wap:(Dragon7)_c7;Mor01s:(Dragon7)_c7;Wi_Dz(p):(Dragon7)_c7;Wi_G:(Dragon7)_c7;IDMT:(Dragon7)_c7;Wi_Dz(v):(Dragon7)_c7;GMTI:(Dragon7)_c7;SMTIV:(Dragon7)_c7;GMTIV:(Dragon7)_c7;Wi_Dt:(Dragon7)_c8;H_RG:(Dragon7)_c8;SMTI:(Dragon7)_c8;Wap:(Dragon7)_c8;Mor01s:(Dragon7)_c8;Wi_Dz(p):(Dragon7)_c8;Wi_G:(Dragon7)_c8;IDMT:(Dragon7)_c8;GMTI:(Dragon7)_c8;SMTIV:(Dragon7)_c8;GMTIV:(Dragon7)_c8;Wi_Dt:(Dragon7)_c9;H_RG:(Dragon7)_c9;SMTI:(Dragon7)_c9;Wap:(Dragon7)_c9;Mor01s:(Dragon7)_c9;Wi_Dz(p):(Dragon7)_c9;Wi_G:(Dragon7)_c9;IDMT:(Dragon7)_c9;Wi_Dz(v):(Dragon7)_c9;GMTI:(Dragon7)_c9;SMTIV:(Dragon7)_c9;GMTIV:(Dragon7)_c9;func_ref
0;1.06;520.58;9733.0;215.62;1090.54;270.86;1456.58;687.94;245.36;399.12;1266.1799999999998;234.22000000000003;2558.2000000000003;312.74;234.26;1061.46;236.4;1953.4;3466.2;261.42;94.17214285714216;1258.867346938776;138.7143877551025;-124.0094897959218;178.97408163265305;47.15489795918381;239.53387755101903;223.49030612244903;120.73204081632709;251.3306122449017;416.45714285714257;0.0;-2.273736754432321e-13;0.0;-2.273736754432321e-13;0.0;2.273736754432321e-13;-2.273736754432321e-13;4.547473508864641e-13;-3747.940548780487;-222.29789634146343;-407.7694207317063;-405.2938109756101;-647.7307926829267;-226.39173780487909;-238.0551829268279;-157.4192073170757;150.35850806451975;1392.6332885304655;33.74910842293889;190.92633064515644;49.05048835125419;-811.7612051971123;246.7720743727599;48.98689964157634;66.91387096773826;364.5740098566349;44.63629480286838;318.9240591397852;53.86756720430509;44.61573924731027;167.31130376343583;46.14565412186377;320.2191308243548;489.8052419354831;-3747.940548780487;-222.29789634146343;-407.7694207317063;-405.2938109756101;-647.7307926829267;-226.39173780487909;-238.0551829268279;-157.4192073170757;230.7240235593217;3980.6848559322034;68.84196135593243;351.6892825423819;90.10308661017176;-835.418047627114;324.40781135593227;86.05208576270954;118.30602135593244;643.872386271195;81.92769033898438;716.749166101695;98.65370966101923;81.90763949152444;320.0786683050849;83.63510661017114;513.3643593220183;634.3957745762714;-3747.940548780487;-222.29789634146343;-407.7694207317063;-405.2938109756101;-647.7307926829267;-226.39173780487909;-238.0551829268279;-157.4192073170757;-186.98848214285704;-7291.251488095237;-419.4446130952381;-561.5230059523799;-108.20919642857145;-137.64261904761884;-611.6872916666669;-1181.1610119047618;-118.45919642857154;-424.2286011904771;-577.5443452380937;-741.1425595238125;274.62619234657507;4982.892916967508;449.57526657038784;-97.67352028880124;375.3768239711192;155.1150921299593;726.9566645487422;971.7931646209388;421.41559335741977;719.4886981949826;1083.7179653429605;-182.5070277777777;-6800.834722222222;-443.0145277777774;-5709.836138888888;-100.02369444444456;-155.92244444444418;-542.0383611111113;-1268.572500000001;-123.50369444444463;-462.209361111112;-666.0724999999989;-1028.013055555558;0.9764981747653062
1;1.18;443.09;8891.5;177.10000000000002;901.57;223.85;1257.29;527.77;203.9;326.46000000000004;1117.29;195.79;2175.4;257.57;195.83;882.33;197.01;1538.2;2602.5;220.95;16.68214285714214;417.3673469387759;-50.25561224489741;-323.2994897959218;18.80408163265298;-25.505102040816155;90.64387755101916;-159.30969387755113;-58.39795918367293;-163.8693877550984;-447.2428571428573;0.0;2.273736754432321e-13;-2.273736754432321e-13;-2.273736754432321e-13;-4.547473508864641e-13;0.0;-4.547473508864641e-13;0.0;-4589.440548780487;-411.26789634146337;-607.0594207317063;-554.18381097561;-1030.5307926829269;-405.5217378048791;-653.255182926828;-1021.1192073170756;72.86850806451974;551.1332885304655;-4.770891577061093;1.9563306451565268;2.0404883512541687;-1011.0512051971124;86.60207437275983;7.526899641576335;-5.746129032261706;215.68400985663504;6.206294802868371;-63.875940860215;-1.3024327956949264;6.185739247310295;-11.818696236564165;6.755654121863756;-94.98086917564524;-373.8947580645168;-4589.440548780487;-411.26789634146337;-607.0594207317063;-554.18381097561;-1030.5307926829269;-405.5217378048791;-653.255182926828;-1021.1192073170756;153.2340235593217;3139.1848559322034;30.321961355932444;162.71928254238196;43.09308661017175;-1034.708047627114;164.2378113559322;44.59208576270953;45.64602135593248;494.9823862711951;43.49769033898437;333.9491661016948;43.48370966101922;43.47763949152446;140.94866830508488;44.24510661017112;98.1643593220183;-229.30422542372844;-4589.440548780487;-411.26789634146337;-607.0594207317063;-554.18381097561;-1030.5307926829269;-405.5217378048791;-653.255182926828;-1021.1192073170756;-264.47848214285705;-8132.751488095237;-608.414613095238;-760.8130059523799;-268.3791964285715;-210.3026190476188;-760.5772916666667;-1563.961011904762;-173.62919642857156;-603.3586011904771;-992.7443452380936;-1604.8425595238125;197.1361923465751;4141.392916967508;260.6052665703879;-296.9635202888012;215.2068239711191;82.4550921299593;578.0666645487423;588.9931646209386;242.28559335741977;304.28869819498254;220.01796534296045;-259.9970277777777;-7642.334722222222;-631.9845277777773;-5909.126138888888;-260.19369444444465;-228.58244444444412;-690.9283611111111;-1651.3725000000009;-178.67369444444466;-641.339361111112;-1081.272499999999;-1891.7130555555575;0.9764981747653062
2;1.11;417.2600000000001;8611.0;164.26000000000002;838.58;208.18;1190.86;474.38;190.08;302.24;1067.66;182.98;2047.8;239.18;183.02;822.62;183.88;1399.8;2314.6;207.46;-9.147857142857845;136.86734693877588;-113.24561224489742;-389.7294897959216;-34.585918367347006;-49.72510204081618;41.01387755101928;-286.90969387755104;-118.10795918367296;-302.2693877550985;-735.1428571428573;4579.290876777252;301.7398696682486;417.7639218009473;562.4963862559243;742.0219194312799;293.66581753554726;424.02973933649696;563.1048578199052;-4869.940548780487;-474.2578963414634;-673.4894207317061;-603.8138109756098;-1158.1307926829268;-465.2317378048791;-791.655182926828;-1309.0192073170756;47.03850806451976;270.6332885304655;-17.610891577061096;-61.03366935484348;-13.62951164874582;-1077.481205197112;33.212074372759844;-6.293100358423686;-29.966129032261733;166.05400985663516;-6.603705197131632;-191.4759408602149;-19.692432795694916;-6.624260752689708;-71.5286962365642;-6.374345878136239;-233.38086917564533;-661.7947580645168;-4869.940548780487;-474.2578963414634;-673.4894207317061;-603.8138109756098;-1158.1307926829268;-465.2317378048791;-791.655182926828;-1309.0192073170756;127.40402355932171;2858.6848559322034;17.48196135593244;99.72928254238197;27.423086610171765;-1101.1380476271138;110.8478113559322;30.77208576270951;21.42602135593245;445.3523862711952;30.687690338984368;206.3491661016949;25.093709661019236;30.66763949152445;81.23866830508484;31.115106610171125;-40.23564067798179;-517.2042254237285;-4869.940548780487;-474.2578963414634;-673.4894207317061;-603.8138109756098;-1158.1307926829268;-465.2317378048791;-791.655182926828;-1309.0192073170756;-290.30848214285703;-8413.251488095237;-671.404613095238;-827.2430059523797;-321.7691964285715;-234.52261904761883;-810.2072916666666;-1691.561011904762;-192.01919642857155;-663.0686011904771;-1131.1443452380938;-1892.7425595238124;171.3061923465751;3860.892916967509;197.61526657038792;-363.393520288801;161.8168239711191;58.23509212995927;528.4366645487424;461.3931646209387;182.5755933574197;165.88869819498245;-67.88203465703964;-285.8270277777777;-7922.834722222222;-694.9745277777773;-5975.556138888887;-313.58369444444463;-252.80244444444415;-740.558361111111;-1778.9725000000008;-197.06369444444465;-701.049361111112;-1219.672499999999;-2179.613055555558;0.9764981747653062
3;1.09;600.06;12636.0;233.55;1194.88;296.6;1719.86;658.18;271.3;429.14;1551.86;261.66;2944.1;340.38;261.72;1174.22;262.69;1961.3;3184.0;297.7;173.65214285714205;4161.867346938776;243.05438775510245;139.2705102040784;149.21408163265295;77.1748979591838;525.2138775510191;609.3903061224487;233.49204081632703;259.2306122449015;134.25714285714275;7433.059701492537;480.8028358208945;126.33850746268672;973.7355223880572;1167.4746268656718;457.4270149253731;545.0440298507483;353.5522388059703;-844.940548780487;-117.95789634146354;-144.4894207317061;-119.61381097561002;-261.83079268292704;-113.6317378048791;-230.15518292682805;-439.6192073170755;229.8385080645197;4295.6332885304655;51.679108422938896;295.2663306451564;74.79048835125414;-548.4812051971121;217.0120743727598;74.92689964157634;96.93387096773824;650.254009856635;72.07629480286832;704.8240591397848;81.50756720430508;72.07573924731025;280.0713037634358;72.43565412186376;328.11913082435467;207.6052419354833;-844.940548780487;-117.95789634146354;-144.4894207317061;-119.61381097561002;-261.83079268292704;-113.6317378048791;-230.15518292682805;-439.6192073170755;310.2040235593216;6883.684855932203;86.77196135593243;456.0292825423818;115.84308661017172;-572.1380476271138;294.64781135593216;111.99208576270954;148.32602135593245;929.552386271195;109.36769033898432;1102.6491661016946;126.29370966101922;109.3676394915244;432.83866830508487;109.92510661017111;521.2643593220182;352.1957745762716;-844.940548780487;-117.95789634146354;-144.4894207317061;-119.61381097561002;-261.83079268292704;-113.6317378048791;-230.15518292682805;-439.6192073170755;-107.50848214285712;-4388.251488095237;-315.10461309523816;-298.2430059523797;-137.96919642857154;-107.62261904761884;-326.0072916666668;-795.2610119047622;-90.81919642857156;-311.4686011904771;-569.6443452380938;-1023.3425595238124;354.10619234657497;7885.892916967508;553.9152665703878;165.60647971119897;345.61682397111906;185.13509212995925;1012.6366645487424;1357.6931646209384;534.1755933574198;727.3886981949825;801.5179653429605;-103.0270277777778;-3897.834722222222;-338.6745277777775;-5446.556138888887;-129.78369444444468;-125.9024444444442;-256.3583611111112;-882.672500000001;-95.86369444444466;-349.449361111112;-658.172499999999;-1310.2130555555575;0.9764981747653062
4;1.42;1148.46;24711.0;441.42;2263.78;561.86;3306.86;1209.58;514.96;809.8399999999999;3004.46;497.7;5633.0;643.9799999999999;497.82;2229.02;499.12;3645.8;5792.2;568.42;722.0521428571421;16236.867346938776;1311.9543877551023;1726.2705102040784;700.6140816326529;457.8748979591837;1977.8138775510192;3298.290306122449;1288.292040816327;1943.7306122449015;2742.4571428571426;0.0;4.547473508864641e-13;0.0;4.547473508864641e-13;0.0;0.0;-4.547473508864641e-13;1.8189894035458565e-12;11230.059451219511;950.9421036585364;1442.510579268294;1332.98618902439;2427.069207317073;941.1682621951207;1454.3448170731722;2168.5807926829243;778.2385080645197;16370.633288530466;259.5491084229389;1364.1663306451562;340.0504883512542;1038.518794802888;768.4120743727598;318.58689964157634;477.6338709677382;2102.854009856635;308.1162948028683;3393.724059139785;385.107567204305;308.1757392473103;1334.8713037634357;308.8656541218637;2012.619130824355;2815.805241935483;11230.059451219511;950.9421036585364;1442.510579268294;1332.98618902439;2427.069207317073;941.1682621951207;1454.3448170731722;2168.5807926829243;858.6040235593217;18958.6848559322;294.64196135593244;1524.9292825423818;381.1030866101718;1014.8619523728862;846.0478113559321;355.6520857627096;529.0260213559324;2382.152386271195;345.4076903389844;3791.549166101695;429.8937096610191;345.46763949152444;1487.6386683050848;346.3551066101711;2205.764359322018;2960.3957745762714;11230.059451219511;950.9421036585364;1442.510579268294;1332.98618902439;2427.069207317073;941.1682621951207;1454.3448170731722;2168.5807926829243;440.89151785714296;7686.748511904763;753.7953869047617;1288.7569940476203;413.4308035714285;273.0773809523811;1126.5927083333331;1893.638988095238;212.78080357142835;743.3313988095229;1114.8556547619064;1584.8574404761875;902.5061923465752;19960.89291696751;1622.8152665703876;1752.606479711199;897.016823971119;565.8350921299592;2465.2366645487423;4046.5931646209374;1588.9755933574197;2411.8886981949827;3409.7179653429603;445.3729722222223;8177.165277777778;730.2254722222224;-3859.556138888888;421.6163055555553;254.79755555555573;1196.241638888889;1806.227499999999;207.73630555555525;705.3506388888879;1026.3275000000012;1297.986944444442;0.9764981747653062
5;1.05;782.3625;16145.625;307.98749999999995;1572.3375;390.3375;2232.8625;889.4625;356.4;566.7;2001.8625;343.08750000000003;3839.625;448.4625;343.1625;1542.4125;344.775;2624.625;4339.875;388.9875;355.95464285714206;7671.492346938776;620.5118877551026;652.2730102040784;380.496581632653;214.73489795918383;975.2163775510191;1504.9153061224488;601.684540816327;922.5556122449016;1290.1321428571428;0.0;2.273736754432321e-13;4.547473508864641e-13;4.547473508864641e-13;0.0;-2.273736754432321e-13;0.0;0.0;2664.684451219513;259.49960365853667;368.513079268294;330.38868902439003;633.694207317073;254.5607621951208;433.169817073172;716.2557926829245;412.14100806451967;7805.2582885304655;126.11660842293884;672.7238306451566;168.52798835125415;-35.47870519711205;448.2945743727598;160.0268996415763;234.4938709677383;1100.2565098566351;153.50379480286838;1600.349059139785;189.59006720430503;153.5182392473103;648.2638037634357;154.52065412186374;991.4441308243548;1363.4802419354833;2664.684451219513;259.49960365853667;368.513079268294;330.38868902439003;633.694207317073;254.5607621951208;433.169817073172;716.2557926829245;492.5065235593216;10393.309855932202;161.20946135593238;833.486782542382;209.5805866101717;-59.13554762711374;525.9303113559322;197.0920857627095;285.8860213559325;1379.554886271195;190.7951903389844;1998.1741661016947;234.3762096610192;190.81013949152447;801.0311683050847;192.0101066101711;1184.5893593220185;1508.0707745762716;2664.684451219513;259.49960365853667;368.513079268294;330.38868902439003;633.694207317073;254.5607621951208;433.169817073172;716.2557926829245;74.79401785714288;-878.6264880952367;62.352886904762045;214.7594940476204;93.31330357142848;29.937380952381204;123.99520833333328;100.26398809523788;17.263303571428423;56.72389880952278;93.68065476190624;132.53244047618773;536.408692346575;11395.517916967508;931.372766570388;678.608979711199;576.8993239711191;322.69509212995933;1462.6391645487424;2253.2181646209383;902.3680933574196;1390.7136981949825;1957.3929653429605;79.27547222222222;-388.2097222222219;38.782972222222725;-4933.553638888888;101.49880555555536;11.65755555555586;193.64413888888885;12.852499999999054;12.21880555555532;18.74313888888787;5.152500000001055;-154.33805555555773;0.9764981747653062
6;1.13;520.58;9733.0;215.62;1090.54;270.86;1456.58;687.94;245.36;399.12;1266.1799999999998;234.22000000000003;2558.2000000000003;312.74;234.26;1061.46;236.4;1953.4;3466.2;261.42;94.17214285714216;1258.867346938776;138.7143877551025;-124.0094897959218;178.97408163265305;47.15489795918381;239.53387755101903;223.49030612244903;120.73204081632709;251.3306122449017;416.45714285714257;0.0;-2.273736754432321e-13;0.0;-2.273736754432321e-13;0.0;2.273736754432321e-13;-2.273736754432321e-13;4.547473508864641e-13;-3747.940548780487;-222.29789634146343;-407.7694207317063;-405.2938109756101;-647.7307926829267;-226.39173780487909;-238.0551829268279;-157.4192073170757;150.35850806451975;1392.6332885304655;33.74910842293889;190.92633064515644;49.05048835125419;-811.7612051971123;246.7720743727599;48.98689964157634;66.91387096773826;364.5740098566349;44.63629480286838;318.9240591397852;53.86756720430509;44.61573924731027;167.31130376343583;46.14565412186377;320.2191308243548;489.8052419354831;-3747.940548780487;-222.29789634146343;-407.7694207317063;-405.2938109756101;-647.7307926829267;-226.39173780487909;-238.0551829268279;-157.4192073170757;230.7240235593217;3980.6848559322034;68.84196135593243;351.6892825423819;90.10308661017176;-835.418047627114;324.40781135593227;86.05208576270954;118.30602135593244;643.872386271195;81.92769033898438;716.749166101695;98.65370966101923;81.90763949152444;320.0786683050849;83.63510661017114;513.3643593220183;634.3957745762714;-3747.940548780487;-222.29789634146343;-407.7694207317063;-405.2938109756101;-647.7307926829267;-226.39173780487909;-238.0551829268279;-157.4192073170757;-186.98848214285704;-7291.251488095237;-419.4446130952381;-561.5230059523799;-108.20919642857145;-137.64261904761884;-611.6872916666669;-1181.1610119047618;-118.45919642857154;-424.2286011904771;-577.5443452380937;-741.1425595238125;274.62619234657507;4982.892916967508;449.57526657038784;-97.67352028880124;375.3768239711192;155.1150921299593;726.9566645487422;971.7931646209388;421.41559335741977;719.4886981949826;1083.7179653429605;-182.5070277777777;-6800.834722222222;-443.0145277777774;-5709.836138888888;-100.02369444444456;-155.92244444444418;-542.0383611111113;-1268.572500000001;-123.50369444444463;-462.209361111112;-666.0724999999989;-1028.013055555558;0.9764981747653062
7;1.15;443.09;8891.5;177.10000000000002;901.57;223.85;1257.29;527.77;203.9;326.46000000000004;1117.29;195.79;2175.4;257.57;195.83;882.33;197.01;1538.2;2602.5;220.95;16.68214285714214;417.3673469387759;-50.25561224489741;-323.2994897959218;18.80408163265298;-25.505102040816155;90.64387755101916;-159.30969387755113;-58.39795918367293;-163.8693877550984;-447.2428571428573;0.0;2.273736754432321e-13;-2.273736754432321e-13;-2.273736754432321e-13;-4.547473508864641e-13;0.0;-4.547473508864641e-13;0.0;-4589.440548780487;-411.26789634146337;-607.0594207317063;-554.18381097561;-1030.5307926829269;-405.5217378048791;-653.255182926828;-1021.1192073170756;72.86850806451974;551.1332885304655;-4.770891577061093;1.9563306451565268;2.0404883512541687;-1011.0512051971124;86.60207437275983;7.526899641576335;-5.746129032261706;215.68400985663504;6.206294802868371;-63.875940860215;-1.3024327956949264;6.185739247310295;-11.818696236564165;6.755654121863756;-94.98086917564524;-373.8947580645168;-4589.440548780487;-411.26789634146337;-607.0594207317063;-554.18381097561;-1030.5307926829269;-405.5217378048791;-653.255182926828;-1021.1192073170756;153.2340235593217;3139.1848559322034;30.321961355932444;162.71928254238196;43.09308661017175;-1034.708047627114;164.2378113559322;44.59208576270953;45.64602135593248;494.9823862711951;43.49769033898437;333.9491661016948;43.48370966101922;43.47763949152446;140.94866830508488;44.24510661017112;98.1643593220183;-229.30422542372844;-4589.440548780487;-411.26789634146337;-607.0594207317063;-554.18381097561;-1030.5307926829269;-405.5217378048791;-653.255182926828;-1021.1192073170756;-264.47848214285705;-8132.751488095237;-608.414613095238;-760.8130059523799;-268.3791964285715;-210.3026190476188;-760.5772916666667;-1563.961011904762;-173.62919642857156;-603.3586011904771;-992.7443452380936;-1604.8425595238125;197.1361923465751;4141.392916967508;260.6052665703879;-296.9635202888012;215.2068239711191;82.4550921299593;578.0666645487423;588.9931646209386;242.28559335741977;304.28869819498254;220.01796534296045;-259.9970277777777;-7642.334722222222;-631.9845277777773;-5909.126138888888;-260.19369444444465;-228.58244444444412;-690.9283611111111;-1651.3725000000009;-178.67369444444466;-641.339361111112;-1081.272499999999;-1891.7130555555575;0.9764981747653062
8;1.16;417.2600000000001;8611.0;164.26000000000002;838.58;208.18;1190.86;474.38;190.08;302.24;1067.66;182.98;2047.8;239.18;183.02;822.62;183.88;1399.8;2314.6;207.46;-9.147857142857845;136.86734693877588;-113.24561224489742;-389.7294897959216;-34.585918367347006;-49.72510204081618;41.01387755101928;-286.90969387755104;-118.10795918367296;-302.2693877550985;-735.1428571428573;4579.290876777252;301.7398696682486;417.7639218009473;562.4963862559243;742.0219194312799;293.66581753554726;424.02973933649696;563.1048578199052;-4869.940548780487;-474.2578963414634;-673.4894207317061;-603.8138109756098;-1158.1307926829268;-465.2317378048791;-791.655182926828;-1309.0192073170756;47.03850806451976;270.6332885304655;-17.610891577061096;-61.03366935484348;-13.62951164874582;-1077.481205197112;33.212074372759844;-6.293100358423686;-29.966129032261733;166.05400985663516;-6.603705197131632;-191.4759408602149;-19.692432795694916;-6.624260752689708;-71.5286962365642;-6.374345878136239;-233.38086917564533;-661.7947580645168;-4869.940548780487;-474.2578963414634;-673.4894207317061;-603.8138109756098;-1158.1307926829268;-465.2317378048791;-791.655182926828;-1309.0192073170756;127.40402355932171;2858.6848559322034;17.48196135593244;99.72928254238197;27.423086610171765;-1101.1380476271138;110.8478113559322;30.77208576270951;21.42602135593245;445.3523862711952;30.687690338984368;206.3491661016949;25.093709661019236;30.66763949152445;81.23866830508484;31.115106610171125;-40.23564067798179;-517.2042254237285;-4869.940548780487;-474.2578963414634;-673.4894207317061;-603.8138109756098;-1158.1307926829268;-465.2317378048791;-791.655182926828;-1309.0192073170756;-290.30848214285703;-8413.251488095237;-671.404613095238;-827.2430059523797;-321.7691964285715;-234.52261904761883;-810.2072916666666;-1691.561011904762;-192.01919642857155;-663.0686011904771;-1131.1443452380938;-1892.7425595238124;171.3061923465751;3860.892916967509;197.61526657038792;-363.393520288801;161.8168239711191;58.23509212995927;528.4366645487424;461.3931646209387;182.5755933574197;165.88869819498245;-67.88203465703964;-285.8270277777777;-7922.834722222222;-694.9745277777773;-5975.556138888887;-313.58369444444463;-252.80244444444415;-740.558361111111;-1778.9725000000008;-197.06369444444465;-701.049361111112;-1219.672499999999;-2179.613055555558;0.9764981747653062
9;1.11;600.06;12636.0;233.55;1194.88;296.6;1719.86;658.18;271.3;429.14;1551.86;261.66;2944.1;340.38;261.72;1174.22;262.69;1961.3;3184.0;297.7;173.65214285714205;4161.867346938776;243.05438775510245;139.2705102040784;149.21408163265295;77.1748979591838;525.2138775510191;609.3903061224487;233.49204081632703;259.2306122449015;134.25714285714275;7433.059701492537;480.8028358208945;126.33850746268672;973.7355223880572;1167.4746268656718;457.4270149253731;545.0440298507483;353.5522388059703;-844.940548780487;-117.95789634146354;-144.4894207317061;-119.61381097561002;-261.83079268292704;-113.6317378048791;-230.15518292682805;-439.6192073170755;229.8385080645197;4295.6332885304655;51.679108422938896;295.2663306451564;74.79048835125414;-548.4812051971121;217.0120743727598;74.92689964157634;96.93387096773824;650.254009856635;72.07629480286832;704.8240591397848;81.50756720430508;72.07573924731025;280.0713037634358;72.43565412186376;328.11913082435467;207.6052419354833;-844.940548780487;-117.95789634146354;-144.4894207317061;-119.61381097561002;-261.83079268292704;-113.6317378048791;-230.15518292682805;-439.6192073170755;310.2040235593216;6883.684855932203;86.77196135593243;456.0292825423818;115.84308661017172;-572.1380476271138;294.64781135593216;111.99208576270954;148.32602135593245;929.552386271195;109.36769033898432;1102.6491661016946;126.29370966101922;109.3676394915244;432.83866830508487;109.92510661017111;521.2643593220182;352.1957745762716;-844.940548780487;-117.95789634146354;-144.4894207317061;-119.61381097561002;-261.83079268292704;-113.6317378048791;-230.15518292682805;-439.6192073170755;-107.50848214285712;-4388.251488095237;-315.10461309523816;-298.2430059523797;-137.96919642857154;-107.62261904761884;-326.0072916666668;-795.2610119047622;-90.81919642857156;-311.4686011904771;-569.6443452380938;-1023.3425595238124;354.10619234657497;7885.892916967508;553.9152665703878;165.60647971119897;345.61682397111906;185.13509212995925;1012.6366645487424;1357.6931646209384;534.1755933574198;727.3886981949825;801.5179653429605;-103.0270277777778;-3897.834722222222;-338.6745277777775;-5446.556138888887;-129.78369444444468;-125.9024444444442;-256.3583611111112;-882.672500000001;-95.86369444444466;-349.449361111112;-658.172499999999;-1310.2130555555575;0.9764981747653062
