,y_train,y_lda_train_pred,y_lda_train_pred_proba
1344,1,1,0.26043225051593766
308,1,1,0.0798370952146863
1105,1,1,0.09979920713048618
430,0,1,0.06918772616623559
966,1,1,0.48635497532209504
398,1,1,0.20128426187792314
423,1,1,0.34167364354148655
370,1,1,0.10416443901287764
54,1,0,0.8823144644097592
1197,1,1,0.11105336961224832
1000,0,0,0.6584598568906329
620,0,0,0.6801988679046455
312,1,1,0.07946534172571285
941,1,1,0.3032442847310127
1010,0,0,0.7262782098539551
560,0,0,0.9553059149920692
109,1,1,0.4308015527133975
522,0,0,0.9089903840909923
1519,1,1,0.1643811000587163
100,0,0,0.6873438737804206
544,0,0,0.9561640507967142
1216,0,0,0.6777096626884174
1438,0,0,0.8408481462023677
266,1,1,0.4215163278842926
810,0,0,0.9580634798033348
296,0,1,0.2834292594328871
1193,1,1,0.11155498964218913
461,1,1,0.13829326877957893
1026,1,0,0.8653702347038231
796,0,0,0.9162435466068942
917,0,0,0.5936098442632765
1423,0,0,0.7169600522660418
377,1,1,0.10333921672921853
286,1,1,0.2860111802434493
1503,0,0,0.7832148362837303
1108,1,1,0.1987279891110264
1398,0,0,0.5379592105046159
126,1,1,0.05050298171959122
327,1,1,0.15980856171225166
292,0,0,0.5997977779706247
597,0,1,0.4937122696959396
792,0,0,0.9166318967113479
752,0,0,0.7927321384936851
355,1,1,0.28069549105939706
1477,0,0,0.6372217176810785
209,1,1,0.32698792366258833
140,1,1,0.05047259332063336
1176,1,1,0.05691810173188172
1047,1,1,0.13844328636868308
705,1,1,0.45956978814311855
1242,0,0,0.820435507896352
1048,0,1,0.2649202028004204
570,0,0,0.978196704594409
974,1,1,0.4838216349958163
905,1,0,0.597274642079511
10,0,0,0.9747181194198486
785,0,0,0.9173075722419681
282,1,1,0.15923884042100034
291,0,1,0.28471845810880503
602,0,0,0.6851424108409374
548,0,0,0.9559510022262727
129,0,0,0.9474168091163291
323,1,1,0.07845116195232904
1179,1,1,0.05671428482526453
1214,0,0,0.678263237089477
669,0,0,0.7434434650967574
552,0,0,0.9557369661444256
909,0,0,0.5960542276737602
715,1,1,0.45642266564755174
678,0,0,0.7412610981663761
158,1,0,0.7892801221824384
626,0,0,0.8177558088941576
516,1,0,0.6218782435907919
1149,0,1,0.027058925192112615
195,0,1,0.3309058637229797
1514,1,1,0.16525367863726803
1401,0,0,0.5370137050825808
410,1,1,0.34539046660066297
96,0,0,0.8723333867922283
1164,0,1,0.026562746923479597
1089,1,1,0.10163643220133312
156,1,0,0.7897015264397746
419,1,1,0.34281523718262885
694,0,0,0.8564836017892095
477,1,1,0.25054907523954506
937,0,0,0.7516981680441261
701,1,1,0.46082955484641097
1024,1,1,0.4457053061971392
447,1,1,0.14042202128921455
1117,1,1,0.19691732711183108
178,0,1,0.1653022085930339
390,1,1,0.20291978622587947
1348,1,1,0.4403364228481078
1295,1,0,0.7603250489677469
1298,1,0,0.7596312657091178
1563,1,1,0.4703763296401432
1225,0,0,0.6752124174845904
1370,1,0,0.619269499754278
949,1,1,0.3011056109068041
1192,1,1,0.11168070384536499
813,0,0,0.9579104008033222
711,0,1,0.45768111143255175
294,0,0,0.5991889775492154
591,0,1,0.495613751500773
1274,1,0,0.5919635823245787
88,0,0,0.9054963251136803
41,1,0,0.9284305015579004
1018,0,0,0.711791820584061
636,0,0,0.8158587731800744
1300,0,0,0.7591679815051788
847,0,0,0.5240500782232118
1450,1,1,0.44733578348119685
756,0,0,0.791897662966764
164,0,0,0.8261342924988686
290,0,1,0.2849767210277646
1481,1,0,0.6360485930509876
1232,0,0,0.8222956636013063
348,1,1,0.2824908049481971
571,0,0,0.9781696486577914
