y_train;y_train_pred;y_test;y_test_pred
5.15;10.85365854;;-53.0966796875
451.62;8.317073171;;70.0908203125
6.35;27.61904762;;15.0908203125
18.14285714;9.804878049;;76.0908203125
16.57142857;9.048780488;;76.0908203125
0.72;5.317073171;;18.4033203125
13.55;2.682926829;;-110.5966796875
16.95;6.634146341;;4.3408203125
8.228346457;10.73170732;;-53.0966796875
4.414634146;2.204724409;;108.3408203125
5.275590551;0.71;;-579.1279296875
6.048780488;28.14285714;;15.0908203125
5.866141732;0.65;;11.8720703125
6.85;20.07874016;;62.1533203125
7.365853659;7.634146341;;10.5908203125
4.05511811;0.87275;;-360.9091796875
14.4;0.91125;;-170.8466796875
17.45;7.80952381;;-115.5966796875
11.07317073;15.24390244;;-51.3466796875
6.87804878;8.619047619;;-115.5966796875
71.79;0.59;;-334.1279296875
4.212598425;9.56097561;;76.0908203125
593.18;4.219512195;;-104.3466796875
6.377952756;0.53;;-317.3779296875
8.307086614;77.0;;96.0908203125
14950.0;0.029411765;;-174.6591796875
14.07317073;7.365853659;;4.3408203125
6.338582677;12.19512195;;-53.0966796875
9.921259843;0.89525;;-396.9091796875
36.85;16.23809524;;7.5908203125
16.45669291;8.317073171;;70.0908203125
3.585365854;5.9;;32.9033203125
7.283464567;4.960629921;;-22.1591796875
34.61904762;9.95;;32.9033203125
8.464566929;4.609756098;;-102.8466796875
4.682926829;0.98;;9041.5361328125
5.487804878;0.95425;;-248.3466796875
17.85714286;11.47619048;;13.5908203125
4.731707317;11.85;;161.6533203125
6.614173228;1708.33;;747.8408203125
4.488188976;6.634146341;;4.3408203125
9.05;7.677165354;;-15.9091796875
33.15;11.18110236;;139.9033203125
24.47619048;8.780487805;;-59.0966796875
5.196850394;6.771653543;;10.9033203125
6.585365854;6.609756098;;208.0908203125
2.926829268;408.44;;747.8408203125
24.9047619;1244.13;;747.8408203125
4.842519685;16.77165354;;139.9033203125
7.487804878;6.102362205;;3.1533203125
4.68503937;1.01;;539.1220703125
0.97025;88.3;;183.9033203125
11.8503937;23.38095238;;-50.4091796875
5.866141732;15.85365854;;-51.3466796875
6.535433071;5.393700787;;-22.1591796875
14.21259843;4.804878049;;206.5908203125
9.292682927;13.55;;167.9033203125
8.170731707;4.804878049;;200.3408203125
12.9047619;23.38095238;;-50.4091796875
19.95238095;10.05;;40.6533203125
11.0;13.57142857;;13.5908203125
15.14285714;6.6;;38.9033203125
4.05511811;15.0;;-51.3466796875
6.535433071;6.731707317;;208.0908203125
4.842519685;7.5;;32.9033203125
6.87804878;7.795275591;;-14.4091796875
16.95121951;4.527559055;;116.0908203125
3.779527559;8.170731707;;-59.0966796875
1.09;11.85;;161.6533203125
20.8;1.008;;919.5908203125
5.926829268;8.682926829;;-59.0966796875
22.33333333;9.714285714;;7.5908203125
10.9047619;10.05;;40.6533203125
12.42857143;0.69;;-82.6435546875
9.024390244;0.35;;47.3095703125
10.04761905;17.0;;15.0908203125
15.42857143;4.173228346;;-15.9091796875
12.73170732;6.048780488;;76.0908203125
3.243902439;9.448818898;;54.6533203125
2.204724409;30.71428571;;-50.4091796875
16.52380952;13.42857143;;-114.0966796875
2.975609756;28.35;;91.9033203125
89.44;12.29268293;;26.1533203125
29.8;6.25984252;;-14.4091796875
9.3;16.25984252;;139.9033203125
5.0;16.1;;169.4033203125
42.25352113;7.857142857;;-121.8466796875
17.04761905;4.731707317;;18.4033203125
6.341463415;17.45;;84.1533203125
5.196850394;2.362204724;;108.3408203125
9.330708661;5.43902439;;70.0908203125
1.05;11.47619048;;13.5908203125
8.85;1039.43662;;-1490.0966796875
10.61904762;6.6;;38.9033203125
4.365853659;5.590551181;;-87.6591796875
6.268292683;0.64;;1084.5283203125
10.0;0.8;;-576.9716796875
0.72;0.99;;-151.7841796875
16.70731707;14.7804878;;-51.3466796875
1443.6;0.24;;2543.8720703125
8.582677165;5.731707317;;18.4033203125
543.48;19.95238095;;15.0908203125
6.25984252;23.38095238;;-50.4091796875
11.07317073;5.866141732;;-81.6591796875
11.29268293;7.292682927;;70.0908203125
5.05;8.9;;40.6533203125
13.15;1703.030303;;951.8408203125
17.9;7.283464567;;132.1533203125
0.995774648;6.463414634;;208.0908203125
6.062992126;7.476190476;;-121.8466796875
12.42857143;14.92125984;;139.9033203125
6.417322835;593.67;;747.8408203125
19.83;4.414634146;;200.3408203125
31.9047619;7.165354331;;-14.4091796875
9.048780488;15.09756098;;77.8408203125
1.38;5.196850394;;-14.4091796875
6.653543307;11.33858268;;139.9033203125
0.39;27.04761905;;15.0908203125
26.45;5.196850394;;-14.4091796875
47.02;8.048780488;;70.0908203125
7.073170732;7.170731707;;76.0908203125
17.0;5.157480315;;-22.1591796875
15.51181102;12.3;;161.6533203125
5.472440945;13.55;;167.9033203125
14.07317073;11.95121951;;-53.0966796875
15.7480315;8.19047619;;-44.0966796875
5.853658537;12.7;;167.9033203125
9.212598425;0.7175;;-200.9091796875
0.66;0.31;;-543.8154296875
16.95;8.228346457;;10.9033203125
6.929133858;7.952755906;;-14.4091796875
0.89075;11.07317073;;12.0908203125
5.31496063;29.23809524;;15.0908203125
17.8;8.56097561;;70.0908203125
13.0952381;10.04878049;;76.0908203125
7.952755906;4.6;;32.9033203125
22.71428571;29.35;;91.9033203125
5.669291339;329.38;;747.8408203125
5.472440945;7.598425197;;138.4033203125
16.19047619;8.619047619;;-115.5966796875
10.31707317;4.37007874;;116.0908203125
7.283464567;4.731707317;;-102.8466796875
11.33858268;31.38095238;;15.0908203125
8.385826772;7.559055118;;10.9033203125
11.65354331;5.536585366;;70.0908203125
11.61417323;3.818897638;;-15.9091796875
3.937007874;4.527559055;;116.0908203125
13.68292683;4.414634146;;200.3408203125
75.6;6.102362205;;-15.9091796875
10.07317073;6.220472441;;-80.1591796875
4.842519685;1.051408451;;646.0908203125
6.102362205;14.95238095;;-58.1591796875
9.170731707;9.634146341;;77.8408203125
6.829268293;10.95238095;;137.8408203125
17.33333333;9.921259843;;54.6533203125
27.61904762;4.842519685;;116.0908203125
6.170731707;2.637795276;;108.3408203125
21.2992126;10.7;;14.9970703125
17.52380952;7.804878049;;-59.0966796875
12.3;9.80952381;;7.5908203125
27.04761905;0.97925;;-474.6591796875
9.048780488;1.13;;-152.6591796875
14.95238095;23.14285714;;-50.4091796875
17.42857143;9.960629921;;54.6533203125
22.28571429;4.414634146;;200.3408203125
0.4;5.219512195;;206.5908203125
17.0;5.536585366;;70.0908203125
6.536585366;7.634146341;;10.5908203125
6.102362205;0.85425;;-222.6591796875
18.14285714;0.911;;-254.5966796875
9.56097561;39.6;;598.3408203125
0.8305;11.76190476;;13.5908203125
5.748031496;7.666666667;;-115.5966796875
44.3;10.63414634;;77.8408203125
6.25984252;6.062992126;;-81.6591796875
15.12195122;16.23809524;;7.5908203125
97.0;9.952380952;;7.5908203125
4.921259843;20.25;;90.4033203125
6.692913386;2060.0;;2883.5595703125
2.414634146;17.45;;84.1533203125
13.95238095;2.975609756;;-110.5966796875
4.268292683;4.173228346;;-87.6591796875
7.666666667;6.811023622;;-80.1591796875
14.15;18.95238095;;13.5908203125
18.95238095;8.902439024;;-59.0966796875
0.9355;1.03;;1611.7783203125
4.536585366;4.173228346;;-15.9091796875
7.634146341;13.61904762;;-58.1591796875
2.975609756;5.170731707;;18.4033203125
23.95238095;6.341463415;;-102.8466796875
13.19047619;11.0;;161.6533203125
