,y_train,y_train_pred,y_qda_train_pred_proba,y_qda_train_pred
1344,1,,1.2915558595437622e-20,1
308,1,,3.062949743255292e-193,1
1105,1,,5.453411033591307e-261,1
430,0,,6.178956002335909e-193,1
966,1,,7.509663241686236e-80,1
398,1,,1.877840467807305e-181,1
423,1,,1.4875055726168297e-173,1
370,1,,9.736365858681603e-178,1
54,1,,1.0,0
1197,1,,2.5131656368467764e-152,1
1000,0,,2.4840116389782096e-87,1
620,0,,1.4056369037938707e-31,1
312,1,,3.175821430934153e-193,1
941,1,,4.070298518831103e-90,1
1010,0,,0.9999999997361295,0
560,0,,1.0,0
109,1,,1.0,0
522,0,,1.0,0
1519,1,,1.8634981760642216e-08,1
100,0,,1.0,0
544,0,,1.0,0
1216,0,,4.921087846328885e-30,1
1438,0,,1.0,0
266,1,,0.0,1
810,0,,0.9999999977771736,0
296,0,,0.0,1
1193,1,,2.655829601589612e-152,1
461,1,,2.5809806840208193e-196,1
1026,1,,7.958890543558395e-157,1
796,0,,0.9999992068277909,0
917,0,,6.2205629443492e-90,1
1423,0,,1.0,0
377,1,,1.0112968992278608e-177,1
286,1,,0.0,1
1503,0,,1.0,0
1108,1,,6.4522632802054924e-260,1
1398,0,,1.0,0
126,1,,0.0,1
327,1,,2.1559830277331704e-196,1
292,0,,0.0,1
597,0,,7.379376896530273e-35,1
792,0,,0.9999992354714357,0
752,0,,2.4172216824854862e-32,1
355,1,,2.5388660712793475e-189,1
1477,0,,1.0,0
209,1,,1.0,0
140,1,,0.0,1
1176,1,,9.96315066017864e-146,1
1047,1,,3.5485819835684556e-191,1
705,1,,1.3490098620252832e-34,1
1242,0,,2.3330494518733764e-24,1
1048,0,,1.4904696323590668e-181,1
570,0,,1.0,0
974,1,,6.801898702299456e-80,1
905,1,,6.943176152436616e-90,1
10,0,,1.0,0
785,0,,0.9999992815884097,0
282,1,,0.0,1
291,0,,0.0,1
602,0,,1.2891468738754153e-31,1
548,0,,1.0,0
129,0,,1.0,0
323,1,,3.492004629728585e-193,1
1179,1,,9.67978360765834e-146,1
1214,0,,4.8836154010275614e-30,1
669,0,,8.716649642684826e-31,1
552,0,,1.0,0
909,0,,6.69941257866786e-90,1
715,1,,1.3802731094156982e-34,1
678,0,,8.814194958761868e-31,1
158,1,,0.0,1
626,0,,3.4216447512515194e-32,1
516,1,,8.37523125755927e-111,1
1149,0,,4.423701542263454e-150,1
195,0,,1.0,0
1514,1,,1.839626881837331e-08,1
1401,0,,1.0,0
410,1,,1.5507200646694553e-173,1
96,0,,0.9607572720993744,0
1164,0,,4.077564531003221e-150,1
1089,1,,6.009042039837238e-261,1
156,1,,0.0,1
419,1,,1.5081919678703945e-173,1
694,0,,1.891996694972697e-30,1
477,1,,1.740606805721019e-189,1
937,0,,6.713880722996328e-96,1
701,1,,1.3346152886123762e-34,1
1024,1,,1.4231150985593955e-93,1
447,1,,2.6545626288903017e-196,1
1117,1,,5.899950200446643e-260,1
178,0,,1.0,0
390,1,,1.858957647486274e-181,1
1348,1,,4.256296765025593e-20,1
1295,1,,8.672113636695033e-47,1
1298,1,,8.552316693604607e-47,1
1563,1,,1.9210047565467174e-09,1
1225,0,,5.079244348425636e-30,1
1370,1,,1.0881395833020295e-25,1
949,1,,3.8190573562796253e-90,1
1192,1,,2.6923675633685412e-152,1
813,0,,0.9999999976861291,0
711,0,,1.3685986122129053e-34,1
294,0,,0.0,1
591,0,,7.001160909217084e-35,1
1274,1,,2.0992986575777783e-50,1
88,0,,1.0,0
41,1,,0.0,1
1018,0,,1.0,0
636,0,,3.43814091992677e-32,1
1300,0,,8.471007285774462e-47,1
847,0,,2.147028060076998e-79,1
1450,1,,1.0,0
756,0,,2.3562414296029297e-32,1
164,0,,1.0,0
290,0,,0.0,1
1481,1,,1.0,0
1232,0,,2.3428707634196116e-24,1
348,1,,2.5298580999017436e-189,1
571,0,,1.0,0
618,0,,1.3934348293941474e-31,1
1475,0,,1.0,0
1036,1,,3.630337134466976e-191,1
910,0,,6.638893906588114e-90,1
1035,1,,3.6366434778745744e-191,1
651,0,,9.261872110130024e-34,1
458,1,,2.598968207544306e-196,1
375,1,,1.0006699419909548e-177,1
333,1,,2.2205320746379113e-196,1
1210,0,,4.8063024822469555e-30,1
1385,1,,9.591259630769413e-26,1
1301,0,,8.42993676746738e-47,1
846,0,,2.15881950383046e-79,1
1452,1,,1.0,0
617,0,,1.3872573629545928e-31,1
328,1,,2.1669118983988785e-196,1
