,y_train,y_train_pred,y_train_pred_proba
1344,1,1,0.36732526108600483
308,1,1,0.4236597458452938
1105,1,1,0.35846628652116064
430,0,1,0.4389643113551478
966,1,0,0.6276692371985664
398,1,1,0.4326086690111142
423,1,1,0.4349551145321179
370,1,1,0.4290522965930936
54,1,0,0.6007022321544425
1197,1,1,0.3076527360641265
1000,0,0,0.6294522958442699
620,0,0,0.5248262455271789
312,1,1,0.4241723910722404
941,1,0,0.6256626742059607
1010,0,1,0.4220972965438613
560,0,0,0.6209142341187536
109,1,0,0.7036579928454252
522,0,0,0.6164716657150651
1519,1,1,0.442040316452606
100,0,0,0.6854936050722019
544,0,0,0.6190850393766725
1216,0,1,0.4095838139877142
1438,0,1,0.48594360083833416
266,1,1,0.311079155145055
810,0,0,0.7096085358731311
296,0,1,0.2621868572903832
1193,1,1,0.30751118395190424
461,1,1,0.4428020894906101
1026,1,0,0.5101949145198645
796,0,0,0.7090873830317047
917,0,0,0.6216591614355037
1423,0,1,0.4865963909855966
377,1,1,0.42992854692482535
286,1,1,0.26159637830761967
1503,0,1,0.5
1108,1,1,0.35866767398630756
1398,0,1,0.4860716172419573
126,1,1,0.3076311623893182
327,1,1,0.42615380817320075
292,0,1,0.31240896238107746
597,0,0,0.522115131105366
792,0,0,0.7087425841040517
752,0,0,0.5384022911237822
355,1,1,0.4289793542095925
1477,0,1,0.5
209,1,1,0.3080691530128291
140,1,0,0.7772880850767918
1176,1,1,0.3075992728981784
1047,1,1,0.3433653380874502
705,1,0,0.534189905175185
1242,0,1,0.4105673962074064
1048,0,1,0.34346848360907906
570,0,0,0.6213430469529525
974,1,0,0.6282805098737112
905,1,0,0.6206673654559639
10,0,0,0.7622101271986508
785,0,0,0.7081352231142705
282,1,1,0.2618175280638666
291,0,1,0.2618917218732967
602,0,0,0.5227581146873272
548,0,0,0.6195446768931198
129,0,0,0.5713993775183435
323,1,1,0.4255785374913103
1179,1,1,0.3077081310560378
1214,0,1,0.40951116828985396
669,0,0,0.5279000013742345
552,0,0,0.6200027562934955
909,0,0,0.6209995490459492
715,1,0,0.5352610981409728
678,0,0,0.528891502925615
158,1,0,0.5952804241337454
626,0,0,0.5247214230358002
516,1,0,0.5989774552732372
1149,0,1,0.3065486410432731
195,0,1,0.3071800327263302
1514,1,1,0.44197142603693274
1401,0,1,0.48612977593277346
410,1,1,0.4333582644815178
96,0,0,0.7022709974268306
1164,0,1,0.30710539272477777
1089,1,1,0.3577277654520717
156,1,0,0.5951522845404489
419,1,1,0.43446467031669733
694,0,0,0.529838569076708
477,1,1,0.4439740901915951
937,0,0,0.6225139401387498
701,1,0,0.5337591454561652
1024,1,1,0.4481650642706204
447,1,1,0.44110434602765625
1117,1,1,0.359074752294236
178,0,0,0.7329110572538544
390,1,1,0.43161510652964635
1348,1,1,0.3675085248740154
1295,1,1,0.4293425719721411
1298,1,1,0.4294330939297973
1563,1,1,0.44172568120280287
1225,0,1,0.4099075189211094
1370,1,1,0.3672818686978264
949,1,0,0.6262938881043362
1192,1,1,0.3074756971510786
813,0,0,0.7098615708852979
711,0,0,0.5348336014969522
294,0,1,0.3125510230068768
591,0,0,0.5214180713230085
1274,1,1,0.4286305272885077
88,0,0,0.796696655437552
41,1,0,0.7045963410586393
1018,0,1,0.375772895449398
636,0,0,0.5258530934763287
1300,0,1,0.4294931069758269
847,0,0,0.617827718739534
1450,1,1,0.5
756,0,0,0.5388154131208447
164,0,0,0.7140630633982343
290,0,1,0.261832669626281
1481,1,1,0.5
1232,0,1,0.4102185188733306
348,1,1,0.4280971117238531
571,0,0,0.6214554837643746
618,0,0,0.5245976624126196
1475,0,1,0.5
1036,1,1,0.3428777619989676
910,0,0,0.6210823473084125
1035,1,1,0.34283316080705095
651,0,0,0.5258337983533728
458,1,1,0.44243914715130683
375,1,1,0.4296784258270301
333,1,1,0.4269174397358871
